year,area,num
201512,서울특별시 성동구,22
201512,서울특별시 성동구,67
201512,서울특별시 성동구,3
201512,서울특별시 성동구,27
201512,서울특별시 성동구,1
201512,서울특별시 성동구,18
201512,서울특별시 성동구,1
201512,서울특별시 성동구,5
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1
201512,서울특별시 광진구,2
201512,서울특별시 광진구,2
201512,서울특별시 광진구,1
201512,서울특별시 광진구,9
201512,서울특별시 광진구,2
201512,서울특별시 광진구,2
201512,서울특별시 중랑구,344
201512,서울특별시 중랑구,7
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,8
201512,서울특별시 중랑구,634
201512,서울특별시 중랑구,2156
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,9
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,111
201512,서울특별시 중랑구,1831
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,78
201512,서울특별시 중랑구,1654
201512,서울특별시 중랑구,1
201512,서울특별시 광진구,1
201512,서울특별시 광진구,801
201512,서울특별시 광진구,169
201512,서울특별시 광진구,72
201512,서울특별시 광진구,1074
201512,서울특별시 광진구,318
201512,서울특별시 광진구,3
201512,서울특별시 광진구,1
201512,서울특별시 광진구,3
201512,서울특별시 광진구,121
201512,서울특별시 광진구,1
201512,서울특별시 광진구,165
201512,서울특별시 광진구,10
201512,서울특별시 광진구,982
201512,서울특별시 광진구,552
201512,서울특별시 광진구,2
201512,서울특별시 광진구,1
201512,서울특별시 광진구,5
201512,서울특별시 중랑구,5
201512,서울특별시 중랑구,27
201512,서울특별시 중랑구,84
201512,서울특별시 중랑구,12
201512,서울특별시 중랑구,1606
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,541
201512,서울특별시 중랑구,13
201512,서울특별시 중랑구,1712
201512,서울특별시 중랑구,26
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,244
201512,서울특별시 중랑구,126
201512,서울특별시 중랑구,41
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,879
201512,서울특별시 광진구,5
201512,서울특별시 광진구,104
201512,서울특별시 광진구,8
201512,서울특별시 광진구,26
201512,서울특별시 광진구,1
201512,서울특별시 광진구,219
201512,서울특별시 광진구,69
201512,서울특별시 광진구,3
201512,서울특별시 광진구,19
201512,서울특별시 광진구,1
201512,서울특별시 광진구,3
201512,서울특별시 광진구,1
201512,서울특별시 광진구,2518
201512,서울특별시 광진구,1
201512,서울특별시 광진구,189
201512,서울특별시 광진구,11
201512,서울특별시 광진구,1054
201512,서울특별시 중랑구,8
201512,서울특별시 중랑구,967
201512,서울특별시 중랑구,22
201512,서울특별시 중랑구,5
201512,서울특별시 중랑구,127
201512,서울특별시 중랑구,323
201512,서울특별시 중랑구,7
201512,서울특별시 중랑구,408
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,183
201512,서울특별시 중랑구,156
201512,서울특별시 중랑구,25
201512,서울특별시 중랑구,81
201512,서울특별시 중랑구,7
201512,서울특별시 중랑구,75
201512,서울특별시 중랑구,2081
201512,서울특별시 광진구,6
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1275
201512,서울특별시 광진구,49
201512,서울특별시 광진구,20
201512,서울특별시 광진구,1
201512,서울특별시 광진구,1229
201512,서울특별시 광진구,1
201512,서울특별시 광진구,59
201512,서울특별시 동대문구,2
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,5
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,3
201512,서울특별시 동대문구,2
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,116
201512,서울특별시 성북구,3
201512,서울특별시 성북구,1
201512,서울특별시 성북구,4
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 성북구,3
201512,서울특별시 성북구,2
201512,서울특별시 성북구,4
201512,서울특별시 성북구,2
201512,서울특별시 성북구,1285
201512,서울특별시 성북구,198
201512,서울특별시 성북구,3
201512,서울특별시 성북구,13
201512,서울특별시 성북구,3
201512,서울특별시 성북구,71
201512,서울특별시 성북구,2
201512,서울특별시 성북구,237
201512,서울특별시 동대문구,81
201512,서울특별시 동대문구,394
201512,서울특별시 동대문구,175
201512,서울특별시 동대문구,520
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,744
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,463
201512,서울특별시 동대문구,1739
201512,서울특별시 동대문구,73
201512,서울특별시 동대문구,461
201512,서울특별시 동대문구,22
201512,서울특별시 동대문구,2
201512,서울특별시 동대문구,45
201512,서울특별시 동대문구,76
201512,서울특별시 성북구,3
201512,서울특별시 성북구,35
